 ,X,Y
1,-0.095,0.551
2,-0.182,3.136
3,0.024,0.519
4,0.190,3.017
5,0.103,0.472
6,0.587,2.565
7,0.151,0.408
8,0.777,2.763
9,0.198,0.369
10,2.077,2.018
11,0.230,0.305
12,2.593,1.447
13,0.285,0.242
14,3.552,0.186
15,0.317,0.155
16,3.489,0.131
17,0.325,0.020
18,3.568,-0.448
19,0.285,-0.059
20,3.631,0.052
21,0.246,-0.170
22,3.504,-0.289
23,0.246,-0.297
24,2.965,-1.384
25,0.151,-0.377
26,1.768,-2.057
27,0.079,-0.424
28,1.617,-1.883
29,-0.008,-0.448
30,1.697,-2.272
31,-0.079,-0.456
32,0.333,-2.287
33,-0.182,-0.432
34,-0.309,-2.375
35,-0.262,-0.440
36,-2.149,-1.280
37,-0.285,-0.377
38,-2.402,-0.749
39,-0.341,-0.274
40,-2.577,-0.789
41,-0.365,-0.210
42,-3.203,-0.155
43,-0.388,-0.115
44,-3.417,0.123
45,-0.412,0.012
46,-3.560,0.456
47,-0.396,0.099
48,-3.576,0.773
49,-0.396,0.210
50,-3.211,1.740
51,-0.365,0.313
52,-3.274,1.867
53,-0.301,0.385
54,-2.339,2.311
55,-0.270,0.464
56,-0.492,2.945
57,-0.198,0.543
58,-0.595,3.049
59,-0.151,0.567
60,-0.381,3.072
